"sep=;";;;;;;;;;;;
slug;name;description;parent;keywords;icon;map_icon;header_type;header_image;header_image_align;category_featured;header_height
banking;Banking;;0;;;;none;;image-left;1;
banks;Banks;;banking;;;;none;;image-left;0;
bitcoin-alternative-currencies;Bitcoin and Alternative Currencies;;banking;;;;none;;image-left;0;
checking-accounts;Checking Accounts;;banking;;;;none;;image-left;0;
credit-cards;Credit Cards;;banking;;;;none;;image-left;0;
credit-unions;Credit Unions;;banking;;;;none;;image-left;0;
international-payments;International Payments;;banking;;;;none;;image-left;0;
peer-to-peer-lending;Peer-to-Peer Lending;;banking;;;;none;;image-left;0;
savings-accounts;Savings Accounts;;banking;;;;none;;image-left;0;
insurance;Insurance;;0;;http://findir.benzinga.com/wp-content/themes/directory2/design/img/categories/business.png;;none;;image-left;0;
business-insurance;Business Insurance;;insurance;;;;none;;image-left;0;
car-insurance;Car Insurance;;insurance;;;;none;;image-left;0;
home-insurance;Home Insurance;;insurance;;;;none;;image-left;0;
insurance-agencies;Insurance Agencies;;insurance;;;;none;;image-left;0;
insurance-agents;Insurance Agents;;insurance;;;;none;;image-left;0;
insurance-companies;Insurance Companies;;insurance;;;;none;;image-left;0;
life-inusrance;Life Inusrance;;insurance;;;;none;;image-left;0;
motorcycle-insurance;Motorcycle Insurance;;insurance;;;;none;;image-left;0;
investing;Investing;;0;;http://findir.benzinga.com/wp-content/themes/directory2/design/img/categories/business.png;http://findir.benzinga.com/wp-content/themes/directory2/design/img/pins/business_pin.png;none;;image-left;0;
alternative-investments;Alternative Investments;;investing;;;;none;;image-left;0;
brokerages;Brokerages;;investing;;;;none;;image-left;0;
financial-advisers;Financial Advisers;;investing;;;;none;;image-left;0;
journalism;Journalism;;0;;;;none;;image-left;0;
journalists;Journalists;;journalism;;;;none;;image-left;0;
arts-and-entertainment;Arts and Entertainment;;journalists;;;;none;;image-left;0;
beauty;Beauty;;journalists;;;;none;;image-left;0;
business-and-finance;Business and Finance;;journalists;;;;none;;image-left;0;
crime-and-justice;Crime and Justice;;journalists;;;;none;;image-left;0;
education;Education;;journalists;;;;none;;image-left;0;
energy;Energy;;journalists;;;;none;;image-left;0;
environment;Environment;;journalists;;;;none;;image-left;0;
fashion;Fashion;;journalists;;;;none;;image-left;0;
food-and-dining;Food and Dining;;journalists;;;;none;;image-left;0;
health;Health;;journalists;;;;none;;image-left;0;
media;Media;;journalists;;;;none;;image-left;0;
military;Military;;journalists;;;;none;;image-left;0;
opinion-and-editorial;Opinion and Editorial;;journalists;;;;none;;image-left;0;
politics;Politics;;journalists;;;;none;;image-left;0;
real-estate-journalists;Real Estate;;journalists;;;;none;;image-left;0;
religion;Religion;;journalists;;;;none;;image-left;0;
science;Science;;journalists;;;;none;;image-left;0;
sports;Sports;;journalists;;;;none;;image-left;0;
technology;Technology;;journalists;;;;none;;image-left;0;
transportation;Transportation;;journalists;;;;none;;image-left;0;
travel;Travel;;journalists;;;;none;;image-left;0;
weather;Weather;;journalists;;;;none;;image-left;0;
world;World;;journalists;;;;none;;image-left;0;
publications;Publications;;journalism;;;;none;;image-left;0;
journalist;journalist;;0;;;;;;;;
professional-services;Professional Services;;0;;;;map;;image-left;0;
certified-public-accountants;Certified Public Accountants;;professional-services;;;;none;;image-left;0;
legal-professionals;Legal Professionals;;professional-services;;;;none;;image-left;0;
real-estate;Real Estate;;0;;;;none;;image-left;1;
home-security;Home Security;;real-estate;;;;none;;image-left;0;
low-income-housing;Low Income Housing;;real-estate;;;;none;;image-left;0;
mortgage-brokers;Mortgage Brokers;;real-estate;;;;none;;image-left;0;
mortgage-lenders;Mortgage Lenders;;real-estate;;;;none;;image-left;0;
moving-companies;Moving Companies;;real-estate;;;;none;;image-left;0;
public-housing-authorities;Public Housing Authorities;;real-estate;;;;none;;image-left;0;
section-8-housing;Section 8 Housing;;real-estate;;;;none;;image-left;0;
small-business;Small Business;;0;;;;none;;image-left;1;
background-checks;Background Checks;;small-business;;;;none;;image-left;0;
credit-card-processing;Credit Card Processing;;small-business;;;;none;;image-left;0;
online-outsourcing-services;Online Outsourcing Services;;small-business;;;;none;;image-left;0;
payment-gateways;Payment Gateways;;small-business;;;;none;;image-left;0;
payroll-services;Payroll Services;;small-business;;;;none;;image-left;0;
registered-agents;Registered Agents;;small-business;;;;none;;image-left;0;
seo-firms;SEO Firms;;small-business;;;;none;;image-left;0;
virtual-assistants;Virtual Assistants;;small-business;;;;none;;image-left;0;
web-design;Web Design;;small-business;;;;none;;image-left;0;
